n,method,value,ops,time_ms
1790,memoization,54750872611989333479239810264726208262418618920194221680994303352140828121619336057808185482116952128851389200820094249114649761880017754259959846841347436084425383938272678975539260114282669233484187020693199919178003438836672775303360834475213108322032106033181332579855749456101663340441062563590850582544304122533681572817613775261219737980345246281233584035254473472345,1789,1.496700
1791,iterative,88588772799914475169312717324477345340655533374504046405887187614059856723955395949710944704756681636543834271609983473248416323920175966992985736251794971826026883128667812839987646719703394696712028524205212984294299890367490255991702806650576568534772119532015255128316393517630826941246985837337949756325789858438562644082135886848751711384241543618865216865154819051234,1790,0.332800
1791,memoization,88588772799914475169312717324477345340655533374504046405887187614059856723955395949710944704756681636543834271609983473248416323920175966992985736251794971826026883128667812839987646719703394696712028524205212984294299890367490255991702806650576568534772119532015255128316393517630826941246985837337949756325789858438562644082135886848751711384241543618865216865154819051234,1790,1.522200
1792,iterative,143339645411903808648552527589203553603074152294698268086881490966200684845574732007519130186873633765395223472430077722363066085800193721252945583093142407910452267066940491815526906833986063930196215544898412903472303329204163031295063641125789676856804225565196587708172142973732490281688048400928800338870093980972244216899749662109971449364586789900098800900409292523579,1791,0.333200
1792,memoization,143339645411903808648552527589203553603074152294698268086881490966200684845574732007519130186873633765395223472430077722363066085800193721252945583093142407910452267066940491815526906833986063930196215544898412903472303329204163031295063641125789676856804225565196587708172142973732490281688048400928800338870093980972244216899749662109971449364586789900098800900409292523579,1791,1.521700
1793,iterative,231928418211818283817865244913680898943729685669202314492768678580260541569530127957230074891630315401939057744040061195611482409720369688245931319344937379736479150195608304655514553553689458626908244069103625887766603219571653287286766447776366245391576345097211842836488536491363317222935034238266750095195883839410806860981885548958723160748828333518964017765564111574813,1792,0.330300
1793,memoization,231928418211818283817865244913680898943729685669202314492768678580260541569530127957230074891630315401939057744040061195611482409720369688245931319344937379736479150195608304655514553553689458626908244069103625887766603219571653287286766447776366245391576345097211842836488536491363317222935034238266750095195883839410806860981885548958723160748828333518964017765564111574813,1792,1.762000
1794,iterative,375268063623722092466417772502884452546803837963900582579650169546461226415104859964749205078503949167334281216470138917974548495520563409498876902438079787646931417262548796471041460387675522557104459614002038791238906548775816318581830088902155922248380570662408430544660679465095807504623082639195550434065977820383051077881635211068694610113415123419062818665973404098392,1793,0.336700
1794,memoization,375268063623722092466417772502884452546803837963900582579650169546461226415104859964749205078503949167334281216470138917974548495520563409498876902438079787646931417262548796471041460387675522557104459614002038791238906548775816318581830088902155922248380570662408430544660679465095807504623082639195550434065977820383051077881635211068694610113415123419062818665973404098392,1793,1.560300
1795,iterative,607196481835540376284283017416565351490533523633102897072418848126721767984634987921979279970134264569273338960510200113586030905240933097744808221783017167383410567458157101126556013941364981184012703683105664679005509768347469605868596536678522167639956915759620273381149215956459124727558116877462300529261861659793857938863520760027417770862243456938026836431537515673205,1794,0.334700
1795,memoization,607196481835540376284283017416565351490533523633102897072418848126721767984634987921979279970134264569273338960510200113586030905240933097744808221783017167383410567458157101126556013941364981184012703683105664679005509768347469605868596536678522167639956915759620273381149215956459124727558116877462300529261861659793857938863520760027417770862243456938026836431537515673205,1794,1.492300
1796,iterative,982464545459262468750700789919449804037337361597003479652069017673182994399739847886728485048638213736607620176980339031560579400761496507243685124221096955030341984720705897597597474329040503741117163297107703470244416317123285924450426625580678089888337486422028703925809895421554932232181199516657850963327839480176909016745155971096112380975658580357089655097510919771597,1795,0.330200
1796,memoization,982464545459262468750700789919449804037337361597003479652069017673182994399739847886728485048638213736607620176980339031560579400761496507243685124221096955030341984720705897597597474329040503741117163297107703470244416317123285924450426625580678089888337486422028703925809895421554932232181199516657850963327839480176909016745155971096112380975658580357089655097510919771597,1795,1.496200
1797,iterative,1589661027294802845034983807336015155527870885230106376724487865799904762384374835808707765018772478305880959137490539145146610306002429604988493346004114122413752552178862998724153488270405484925129866980213368149249926085470755530319023162259200257528294402181648977306959111378014056959739316394120151492589701139970766955608676731123530151837902037295116491529048435444802,1796,0.331300
1797,memoization,1589661027294802845034983807336015155527870885230106376724487865799904762384374835808707765018772478305880959137490539145146610306002429604988493346004114122413752552178862998724153488270405484925129866980213368149249926085470755530319023162259200257528294402181648977306959111378014056959739316394120151492589701139970766955608676731123530151837902037295116491529048435444802,1796,1.533900
1798,iterative,2572125572754065313785684597255464959565208246827109856376556883473087756784114683695436250067410692042488579314470878176707189706763926112232178470225211077444094536899568896321750962599445988666247030277321071619494342402594041454769449787839878347416631888603677681232769006799568989191920515910778002455917540620147675972353832702219642532813560617652206146626559355216399,1797,0.331600
1798,memoization,2572125572754065313785684597255464959565208246827109856376556883473087756784114683695436250067410692042488579314470878176707189706763926112232178470225211077444094536899568896321750962599445988666247030277321071619494342402594041454769449787839878347416631888603677681232769006799568989191920515910778002455917540620147675972353832702219642532813560617652206146626559355216399,1797,1.634000
1799,iterative,4161786600048868158820668404591480115093079132057216233101044749272992519168489519504144015086183170348369538451961417321853800012766355717220671816229325199857847089078431895045904450869851473591376897257534439768744268488064796985088472950099078604944926290785326658539728118177583046151659832304898153948507241760118442927962509433343172684651462654947322638155607790661201,1798,0.334400
